"Index","Date_Time","Temperature_c","RH%"
1,2022-07-05 01:00:00,"19.5","61.98"
2,2022-07-05 01:01:00,"19.44","62.41"
3,2022-07-05 01:02:00,"19.39","63.02"
4,2022-07-05 01:03:00,"19.34","63.57"
5,2022-07-05 01:04:00,"19.26","62.85"
6,2022-07-05 01:05:00,"19.22","62.16"
7,2022-07-05 01:06:00,"19.21","61.89"
8,2022-07-05 01:07:00,"19.2","61.7"
9,2022-07-05 01:08:00,"19.24","61.74"
10,2022-07-05 01:09:00,"19.26","61.96"
11,2022-07-05 01:10:00,"19.27","62.23"
12,2022-07-05 01:11:00,"19.27","61.82"
13,2022-07-05 01:12:00,"19.31","61.67"
14,2022-07-05 01:13:00,"19.32","61.47"
15,2022-07-05 01:14:00,"19.39","61.42"
16,2022-07-05 01:15:00,"19.45","61.27"
17,2022-07-05 01:16:00,"19.53","61.03"
18,2022-07-05 01:17:00,"19.6","60.87"
19,2022-07-05 01:18:00,"19.65","61.09"
20,2022-07-05 01:19:00,"19.68","62.1"
21,2022-07-05 01:20:00,"19.7","60.71"
22,2022-07-05 01:21:00,"19.75","60.72"
23,2022-07-05 01:22:00,"19.75","62.3"
24,2022-07-05 01:23:00,"19.71","61.2"
25,2022-07-05 01:24:00,"19.69","60.96"
26,2022-07-05 01:25:00,"19.71","60.94"
27,2022-07-05 01:26:00,"19.72","60.99"
28,2022-07-05 01:27:00,"21.48","61.74"
29,2022-07-05 01:28:00,"19.69","61.23"
30,2022-07-05 01:29:00,"19.69","61.19"
31,2022-07-05 01:30:00,"19.69","61.3"
32,2022-07-05 01:31:00,"19.68","61.56"
33,2022-07-05 01:32:00,"19.67","61.4"
34,2022-07-05 01:33:00,"19.66","61.56"
35,2022-07-05 01:34:00,"19.65","61.67"
36,2022-07-05 01:35:00,"19.62","61.65"
37,2022-07-05 01:36:00,"19.59","61.99"
38,2022-07-05 01:37:00,"19.58","62"
39,2022-07-05 01:38:00,"21.3","62.08"
40,2022-07-05 01:39:00,"19.55","61.95"
41,2022-07-05 01:40:00,"19.54","62.26"
42,2022-07-05 01:41:00,"19.52","62.22"
43,2022-07-05 01:42:00,"21.26","62.2"
44,2022-07-05 01:43:00,"19.5","62.1"
45,2022-07-05 01:44:00,"19.5","62.33"
46,2022-07-05 01:45:00,"19.5","62.98"
47,2022-07-05 01:46:00,"19.48","62.81"
48,2022-07-05 01:47:00,"19.45","62.61"
49,2022-07-05 01:48:00,"19.41","62.41"
50,2022-07-05 01:49:00,"19.39","62.91"
51,2022-07-05 01:50:00,"21.09","62.92"
52,2022-07-05 01:51:00,"19.32","63.15"
53,2022-07-05 01:52:00,"19.31","63.23"
54,2022-07-05 01:53:00,"19.29","64.04"
55,2022-07-05 01:54:00,"19.26","63.43"
56,2022-07-05 01:55:00,"19.25","63.38"
57,2022-07-05 01:56:00,"19.24","63.56"
58,2022-07-05 01:57:00,"19.21","63.51"
59,2022-07-05 01:58:00,"19.22","63.49"
60,2022-07-05 01:59:00,"21","63.63"
61,2022-07-05 02:00:00,"19.25","63.64"
62,2022-07-05 02:01:00,"19.23","63.8"
63,2022-07-05 02:02:00,"19.2","63.89"
64,2022-07-05 02:03:00,"19.16","63.95"
65,2022-07-05 02:04:00,"19.17","64.14"
66,2022-07-05 02:05:00,"19.18","64.38"
67,2022-07-05 02:06:00,"19.17","64.5"
68,2022-07-05 02:07:00,"19.16","64.78"
69,2022-07-05 02:08:00,"19.13","64.66"
70,2022-07-05 02:09:00,"20.85","65.05"
71,2022-07-05 02:10:00,"19.05","65"
72,2022-07-05 02:11:00,"19.03","65.01"
73,2022-07-05 02:12:00,"19.02","65.35"
74,2022-07-05 02:13:00,"19.01","65.99"
75,2022-07-05 02:14:00,"19.03","65.35"
76,2022-07-05 02:15:00,"19.02","65.64"
77,2022-07-05 02:16:00,"19.01","65.58"
78,2022-07-05 02:17:00,"19.02","65.4"
79,2022-07-05 02:18:00,"19.04","66.27"
80,2022-07-05 02:19:00,"18.99","66.1"
81,2022-07-05 02:20:00,"19","65.91"
82,2022-07-05 02:21:00,"18.98","67.03"
83,2022-07-05 02:22:00,"18.94","67.37"
84,2022-07-05 02:23:00,"18.87","67.41"
85,2022-07-05 02:24:00,"18.82","68.51"
86,2022-07-05 02:25:00,"18.76","67.66"
87,2022-07-05 02:26:00,"18.75","67.49"
88,2022-07-05 02:27:00,"18.74","67.64"
89,2022-07-05 02:28:00,"18.73","67.49"
90,2022-07-05 02:29:00,"18.73","67.8"
91,2022-07-05 02:30:00,"18.72","67.41"
92,2022-07-05 02:31:00,"20.48","67.44"
93,2022-07-05 02:32:00,"18.73","67.47"
94,2022-07-05 02:33:00,"18.75","67.41"
95,2022-07-05 02:34:00,"20.49","67.3"
96,2022-07-05 02:35:00,"18.71","67.65"
97,2022-07-05 02:36:00,"18.7","67.51"
98,2022-07-05 02:37:00,"18.73","67.59"
99,2022-07-05 02:38:00,"18.73","67.83"
100,2022-07-05 02:39:00,"18.68","67.99"
101,2022-07-05 02:40:00,"18.67","67.86"
102,2022-07-05 02:41:00,"18.68","67.9"
103,2022-07-05 02:42:00,"20.43","67.91"
104,2022-07-05 02:43:00,"18.68","68.02"
105,2022-07-05 02:44:00,"18.66","68"
106,2022-07-05 02:45:00,"18.64","68.07"
107,2022-07-05 02:46:00,"20.4","68.28"
108,2022-07-05 02:47:00,"18.65","68.26"
109,2022-07-05 02:48:00,"18.65","68.22"
110,2022-07-05 02:49:00,"18.65","68.52"
111,2022-07-05 02:50:00,"18.67","68.41"
112,2022-07-05 02:51:00,"18.65","68.84"
113,2022-07-05 02:52:00,"18.65","68.59"
114,2022-07-05 02:53:00,"18.64","68.53"
115,2022-07-05 02:54:00,"20.41","68.48"
116,2022-07-05 02:55:00,"18.66","68.48"
117,2022-07-05 02:56:00,"18.69","68.41"
118,2022-07-05 02:57:00,"18.69","68.46"
119,2022-07-05 02:58:00,"18.68","68.73"
120,2022-07-05 02:59:00,"20.43","68.65"
121,2022-07-05 03:00:00,"18.68","68.65"
122,2022-07-05 03:01:00,"18.69","68.69"
123,2022-07-05 03:02:00,"20.47","68.55"
124,2022-07-05 03:03:00,"18.71","68.84"
125,2022-07-05 03:04:00,"18.69","68.77"
126,2022-07-05 03:05:00,"18.67","68.8"
127,2022-07-05 03:06:00,"20.4","68.77"
128,2022-07-05 03:07:00,"18.65","68.8"
129,2022-07-05 03:08:00,"18.66","68.84"
130,2022-07-05 03:09:00,"18.67","69.01"
131,2022-07-05 03:10:00,"18.64","68.94"
132,2022-07-05 03:11:00,"18.64","68.98"
133,2022-07-05 03:12:00,"18.64","69.14"
134,2022-07-05 03:13:00,"18.65","69.11"
135,2022-07-05 03:14:00,"18.68","69.05"
136,2022-07-05 03:15:00,"18.67","69.32"
137,2022-07-05 03:16:00,"18.63","69.36"
138,2022-07-05 03:17:00,"18.63","69.15"
139,2022-07-05 03:18:00,"18.65","69.25"
140,2022-07-05 03:19:00,"20.44","69.26"
141,2022-07-05 03:20:00,"20.46","69.42"
